train:0.003931641482087978,validation:0.001204437203705311
train:0.0009279344387603208,validation:0.0009107600373681635
train:0.0007778992355100114,validation:0.0008042377361562103
train:0.0007165463908017705,validation:0.0008454719558358192
train:0.0006572175256084078,validation:0.0007567204447695985
train:0.0006135692986260567,validation:0.0006610636162804439
train:0.0005951294269934707,validation:0.0006694565148791298
train:0.0005596710375707167,validation:0.0006101895502069965
train:0.0005567400600469497,validation:0.0006239775801077485
train:0.0005506431405012916,validation:0.0005974030238576234
train:0.0005261394733199747,validation:0.0006228701444342732
train:0.0005086031822349548,validation:0.0005651357030728831
train:0.000512390699241423,validation:0.0005942038405919448
train:0.0004903720407158259,validation:0.0005592480069026351
train:0.0004910819707719794,validation:0.000582120131002739
train:0.00047318696762066703,validation:0.0005358552240068093
train:0.00047547247367629594,validation:0.0005481831234646961
train:0.0004595284835386837,validation:0.0005453676043543964
train:0.0004480197380621825,validation:0.0004981429490726441
train:0.00045279673189385335,validation:0.0005541544640436768
train:0.00043809484014963057,validation:0.0005353531596483663
train:0.0004253009483563601,validation:0.0004803283081855625
train:0.00043991969509439154,validation:0.0004866706149186939
train:0.0004143968220047939,validation:0.00047934944450389594
train:0.0004030544917511109,validation:0.00045571813825517893
train:0.0004064519955216303,validation:0.0005527806380996481
train:0.00039924895243749925,validation:0.00047101918025873604
train:0.0003964991289879206,validation:0.0004979801189620048
train:0.00038627149063229026,validation:0.0004764408688060939
train:0.0003771611409719808,validation:0.00046018320426810533
train:0.00037715296071677746,validation:0.00045857098593842237
train:0.0003695757082563692,validation:0.0004460965981706977
train:0.0003675957353322531,validation:0.00046124906511977313
train:0.0003624820747863051,validation:0.000422498190891929
train:0.00035977733301019275,validation:0.000436254232772626
train:0.00036123759291713014,validation:0.0004362872481578961
train:0.00034498660502172394,validation:0.0004071458912221715
train:0.00034521752664599324,validation:0.00041933843458537013
train:0.0003475546649756974,validation:0.00042718784243334085
train:0.0003395995790724755,validation:0.00041498167556710543
train:0.00033395940944511485,validation:0.0004082196697709151
train:0.00033228981927815046,validation:0.00041135672508971763
train:0.0003310314268973953,validation:0.0004088129353476688
train:0.0003255410569241516,validation:0.0004075708333402872
train:0.0003320023495509484,validation:0.0004241165763232857
train:0.00032075355469075205,validation:0.0004016332284663804
train:0.00031151897980765043,validation:0.0003968296921811998
train:0.00030934073959712634,validation:0.00039574286201968787
train:0.0003092844196874137,validation:0.0003918725691619329
train:0.00031436607577443984,validation:0.0004647415509680286
train:0.00031003082963602187,validation:0.00040238437650259585
train:0.00030872997460671916,validation:0.000428105128230527
train:0.00030024503939785063,validation:0.0003881652533891611
train:0.00030028805469935454,validation:0.0004014714490040205
train:0.00029643976985435974,validation:0.0003960787929827347
train:0.0002984159109873472,validation:0.00041382653871551155
train:0.0002988536629005806,validation:0.00038466901605715975
train:0.00029818329654357674,validation:0.0003873658148222603
train:0.0002927937227298741,validation:0.00039321834919974207
train:0.0002893060041210297,validation:0.00039381039823638275
train:0.00028606898718702884,validation:0.0003915494206012227
train:0.00029245562273190245,validation:0.00038792334671597926
train:0.0002931259312810233,validation:0.0003944329873775132
train:0.0002835923508398112,validation:0.00038470908912131564
train:0.00028293403370848315,validation:0.0004661065904656425
train:0.0002787777890002222,validation:0.0003900507887010463
train:0.0002730156468185289,validation:0.0003645590230007656
train:0.00027687937292464814,validation:0.0004529953934252262
train:0.0002807913838846067,validation:0.00037370864738477393
train:0.0002772515294414556,validation:0.00036715583264594897
train:0.00027085978689393703,validation:0.0003956781423767097
train:0.0002665806686918886,validation:0.0003700312547152862
train:0.00027089227924179696,validation:0.00037652147584594787
train:0.0002716072456998198,validation:0.00036560215521603824
train:0.0002696918417823726,validation:0.00037196179328020663
train:0.00026500142265141913,validation:0.0003703156398842111
train:0.0002599239252938807,validation:0.0003701716617797501
train:0.00026380592972490485,validation:0.0003641984527348541
train:0.00026206434467694834,validation:0.00039416722574969754
train:0.00025893907325923095,validation:0.00037281969271134584
train:0.0002603193025097026,validation:0.0003647205143352039
train:0.0002630676847599846,validation:0.00039949157362570984
train:0.00025675761035917285,validation:0.0003720811801031232
train:0.0002546855403624659,validation:0.00038875444734003394
train:0.0002535225768032443,validation:0.000363505826680921
train:0.00025534086331730236,validation:0.0003821831138338894
train:0.00025297342222324663,validation:0.0003647580655524507
train:0.0002511755551645215,validation:0.00036322882369859143
train:0.00024985296852889235,validation:0.0003664913077955134
train:0.00025093802057429224,validation:0.00039509867201559246
train:0.0002506664911909336,validation:0.0003820812999038026
train:0.00024691835838334204,validation:0.0003724458350916393
train:0.0002455032341198863,validation:0.00036632230767281727
train:0.0002470449211874178,validation:0.0003912865577149205
train:0.00024154263743324779,validation:0.0003668155477498658
train:0.00024103540708093424,validation:0.00037425287009682504
train:0.00024202307427153606,validation:0.0003724916197825223
train:0.0002416870740669585,validation:0.00036672716814791786
train:0.00024306831139735979,validation:0.0003773380274651572
train:0.00023971613460402056,validation:0.00036575636331690473
train:0.00024008976398253362,validation:0.00036950204230379313
train:0.00023822170280234805,validation:0.0003585481143090874
train:0.0002421047632866488,validation:0.0003769342671148479
train:0.000237106271155286,validation:0.0003707198513438925
train:0.0002371328788525476,validation:0.0003566539584426209
train:0.00023134846600401983,validation:0.0003529172812704928
train:0.0002300136091454968,validation:0.0003568146959878504
train:0.0002344034425562483,validation:0.00036713449226226657
train:0.00023193771390891686,validation:0.0003510660695610568
