train:0.13591072352036185,validation:0.14058061937491098
train:0.13196085782154746,validation:0.13802796105543771
train:0.12361357879379521,validation:0.13220225274562836
train:0.129655916729699,validation:0.1372512678305308
train:0.13026731461286545,validation:0.13265175620714822
train:0.1338530131008314,validation:0.13452217976252237
train:0.12935463112333548,validation:0.14391420284907022
train:0.13374066968326984,validation:0.1462094783782959
train:0.137607225905294,validation:0.14324988424777985
train:0.1257376586613448,validation:0.1277815649906794
train:0.1329467857013578,validation:0.1519798586765925
train:0.14917850267627966,validation:0.19057235618432364
train:0.13897320952104486,validation:0.1322386066118876
train:0.1245445988100508,validation:0.13008042673269907
train:0.11353655774956165,validation:0.118102232615153
train:0.10963977840931519,validation:0.12154754996299744
train:0.11123814142268637,validation:0.12106455365816753
train:0.11419849518848502,validation:0.114683764676253
train:0.1121903363129367,validation:0.11934518814086914
train:0.11365317909613899,validation:0.11868754029273987
train:0.11043059663928073,validation:0.11667899042367935
train:0.11016247162352437,validation:0.11724404493967693
train:0.11122939379318901,validation:0.12271902710199356
train:0.11527052748462428,validation:0.12138553708791733
train:0.1127381408992021,validation:0.11905707915623982
train:0.11045665002387503,validation:0.11668175955613454
train:0.10824431414189546,validation:0.11572739233573277
train:0.10818234604337941,validation:0.11495068669319153
train:0.10829965381518654,validation:0.11413607001304626
train:0.10666000097990036,validation:0.11511147270600001
train:0.10644376439892728,validation:0.11150894562403361
train:0.10580922080122906,validation:0.11316661536693573
train:0.10681630282298378,validation:0.11409592628479004
train:0.1074912240323813,validation:0.11421102037032445
train:0.10682902485132217,validation:0.11318132281303406
train:0.10520886079124782,validation:0.111482339600722
train:0.10417472020439479,validation:0.11045831441879272
train:0.10421736927136131,validation:0.11029138912757237
train:0.10379959610493286,validation:0.10999177147944768
train:0.10293611430603525,validation:0.10925763348738353
train:0.10254467958989351,validation:0.1097081924478213
train:0.10396574437618256,validation:0.10972629239161809
train:0.1042178266722223,validation:0.11212874203920364
train:0.10526036859854408,validation:0.11462900539239247
train:0.10697586575280064,validation:0.11456420769294103
train:0.10599960840266684,validation:0.11266039063533147
train:0.1039038430089536,validation:0.11029293636480968
train:0.10305273435685945,validation:0.10957569628953934
train:0.10432019084692001,validation:0.11087155093749364
train:0.10552119010168573,validation:0.11107018341620763
train:0.10575350762709328,validation:0.1111477663119634
train:0.10541171872097513,validation:0.11437144130468369
train:0.1063787509565768,validation:0.11071960876385371
train:0.11112927710232527,validation:0.11065199226140976
train:0.1034330132862796,validation:0.11102395504713058
train:0.10296405463115028,validation:0.11030204594135284
train:0.10250357408886371,validation:0.11106270551681519
train:0.10519620193087537,validation:0.11374159157276154
train:0.105486535831638,validation:0.11142897605895996
train:0.10358639191026273,validation:0.11048411577939987
train:0.10320445538862892,validation:0.1110559528072675
train:0.10385503846666087,validation:0.11167610188325246
train:0.10417650251284889,validation:0.11151598145564397
train:0.10420492906933246,validation:0.11120369533697765
train:0.10445571464041005,validation:0.11066161096096039
train:0.10392766186724538,validation:0.1094915543993314
train:0.10368924458389697,validation:0.1104225864013036
train:0.10542693280655405,validation:0.11185514430205028
train:0.10572981348504192,validation:0.1101245532433192
train:0.10449510456427284,validation:0.10918634633223216
train:0.10414628069037976,validation:0.10908154149850209
train:0.10402146921209666,validation:0.10946776221195857
train:0.10447906832332196,validation:0.11001514395078023
train:0.10393236091603404,validation:0.10994048416614532
train:0.10328058444935342,validation:0.1101337547103564
train:0.10338621748530347,validation:0.11105966567993164
train:0.10448713892179987,validation:0.11276788264513016
train:0.16146336528270142,validation:0.11408326774835587
train:0.45425514488116553,validation:0.47407400608062744
train:0.13477848761755487,validation:0.11436822017033894
train:0.1106426570078601,validation:0.1185511772831281
train:0.11420145080141399,validation:0.12083729356527328
train:0.11716870088940082,validation:0.12356242289145787
train:0.11786342638990153,validation:0.12333341439565022
train:0.11715942038142163,validation:0.12212653209765752
train:0.11469234299400578,validation:0.11897706737120946
train:0.1118515308784402,validation:0.11585490902264912
train:0.10974544481090877,validation:0.11451723178227742
train:0.10795913442321446,validation:0.11372868716716766
train:0.10715295795513236,validation:0.11351028581460317
train:0.10699633670889813,validation:0.11407884458700816
train:0.10758609616238138,validation:0.1151266098022461
train:0.10817271956930989,validation:0.11570319284995396
train:0.10824474497981694,validation:0.11626157412926356
train:0.10861997500709865,validation:0.11695247640212376
train:0.10908487471549408,validation:0.1172847921649615
train:0.10910617462966753,validation:0.11673156172037125
train:0.1087909279310185,validation:0.1159147396683693
train:0.10844709627006364,validation:0.11523361255725224
train:0.1081172843342242,validation:0.11442248026529948
train:0.10751354467609654,validation:0.11330363899469376
train:0.10653275802083638,validation:0.1120470364888509
train:0.10608071347941524,validation:0.11143112430969875
train:0.10519019903048225,validation:0.11112941056489944
train:0.10526468216077141,validation:0.11131394406159718
train:0.10540694322275079,validation:0.11157789081335068
train:0.1054989578931228,validation:0.11186017841100693
train:0.10555209834938464,validation:0.1123857448498408
train:0.10635501535042473,validation:0.11275297900040944
train:0.10595774099878642,validation:0.11332495510578156
train:0.10628622187220532,validation:0.1138895998398463
train:0.10651334439930708,validation:0.11403843760490417
train:0.10655101064754569,validation:0.11383432149887085
train:0.10645707955826884,validation:0.1132807582616806
train:0.10637345910072327,validation:0.11257130155960719
train:0.10625793007404907,validation:0.11194762339194615
train:0.1060994882946429,validation:0.11152646938959758
train:0.10592827913553818,validation:0.11142721027135849
train:0.10589181534622026,validation:0.1118861014644305
train:0.10621139245188754,validation:0.1128235508998235
train:0.1068731880058413,validation:0.11383308470249176
train:0.10757070974163387,validation:0.11457081884145737
train:0.10790027775194334,validation:0.1147730400164922
train:0.10776761044626651,validation:0.11429039140542348
train:0.10796159473450287,validation:0.11335539321104686
train:0.10689271209032639,validation:0.11386172225077947
train:0.10676356469807417,validation:0.112837053835392
train:0.10645915665056395,validation:0.11290984849135081
train:0.10658083078653915,validation:0.11287745585044225
train:0.10623036454553189,validation:0.1128279169400533
train:0.10580026973848758,validation:0.11308498432238896
train:0.10568586024253265,validation:0.11376491685708363
train:0.1059719557347505,validation:0.11435738205909729
train:0.1061157503205797,validation:0.11413777122894923
train:0.10584382032570631,validation:0.11404918134212494
train:0.10620315858851308,validation:0.11228941877683003
train:0.10581095646256986,validation:0.11178491512934367
train:0.10601936799028645,validation:0.1116899698972702
train:0.10577666500340337,validation:0.11197057863076527
train:0.10597890453494113,validation:0.11315637081861496
train:0.10734888166189194,validation:0.11453859508037567
train:0.107830167464588,validation:0.11606071889400482
train:0.10937851732191832,validation:0.11828997234503429
train:0.11149652399446654,validation:0.12111128369967143
train:0.11391427659470102,validation:0.12329064806302388
train:0.1160496003601862,validation:0.12530666341384253
train:0.11752713763195535,validation:0.12607782582441965
train:0.1181254105075546,validation:0.12620154519875845
train:0.11797370696845262,validation:0.12578721344470978
train:0.11738935177740843,validation:0.12490177899599075
train:0.11593284846647926,validation:0.12505503743886948
train:0.1148642677327861,validation:0.12488137185573578
train:0.11374420543079791,validation:0.12212054431438446
train:0.1132312306891317,validation:0.12148576229810715
train:0.11309672730124515,validation:0.12113119910160701
train:0.113217670308507,validation:0.12091122319300969
train:0.11365891247987747,validation:0.12088439116875331
train:0.11440139231474503,validation:0.12105308969815572
train:0.11548998433610667,validation:0.12092006951570511
train:0.11478761583566666,validation:0.12026939044396083
train:0.11381012395672176,validation:0.11940217514832814
train:0.11299497213052667,validation:0.11867150912682216
train:0.11159684541432754,validation:0.11813079565763474
train:0.11082460860843243,validation:0.11779636641343434
train:0.11031934392193089,validation:0.11745629707972209
train:0.10996731856594914,validation:0.11693622171878815
train:0.10977982632491899,validation:0.11646230022112529
train:0.10996870437394017,validation:0.11644490559895833
train:0.11067089956739674,validation:0.11684496452411015
train:0.11169644412787064,validation:0.11753954490025838
train:0.11268897354602814,validation:0.1182796061038971
train:0.11320991684561191,validation:0.11879508197307587
train:0.11320225862057312,validation:0.1191504920522372
train:0.11296313709538916,validation:0.11932643006245296
train:0.11268293306879375,validation:0.11932554592688878
train:0.11237717614225719,validation:0.11913320422172546
train:0.11211505629446196,validation:0.11888062953948975
train:0.11193711602169534,validation:0.11869547516107559
train:0.11201797587716061,validation:0.11880307644605637
train:0.11241562599721162,validation:0.11929990599552791
train:0.11309364956358205,validation:0.12010329713424046
train:0.113939946760302,validation:0.1209857960542043
