train:0.035352180210443646,validation:0.029189534071418975
train:0.012609756045084406,validation:0.0041162241250276566
train:0.011841995424109993,validation:0.014221198442909453
train:0.010705780483536667,validation:0.0216000247746706
train:0.010790762749940648,validation:0.005758696494417058
train:0.010893935926135752,validation:0.005611408398383194
train:0.006891837476619652,validation:0.012417477555572987
train:0.008909704764936488,validation:0.004258177010342479
train:0.00621294629872664,validation:0.010154523472819064
train:0.005686868990229054,validation:0.006537404480493731
train:0.006414730593070879,validation:0.00529531648175584
train:0.0041917504328251864,validation:0.006125160285996066
train:0.004787686419069439,validation:0.0037483027360091605
train:0.004433479600145921,validation:0.0038618090976443556
train:0.0037586926431446284,validation:0.004547789537658294
train:0.0035336672016265955,validation:0.004719513778885205
train:0.0037655248588135282,validation:0.0034937944987581838
train:0.0041317308122026065,validation:0.0032732494485874972
train:0.0036321866228808085,validation:0.004711011217700111
train:0.003314226602234847,validation:0.003597681721051534
train:0.003690560220403003,validation:0.002994350390508771
train:0.003356330227209153,validation:0.004563659144979384
train:0.003321512961749929,validation:0.0030574882661716807
train:0.0037679105183457606,validation:0.0033028616000794703
train:0.003068894132521454,validation:0.004561056072513263
train:0.0036216342647733923,validation:0.0026443807097772756
train:0.0035517965494603902,validation:0.004448984853095478
train:0.002876034445272615,validation:0.0037146206272559035
train:0.003883889466933497,validation:0.0034214754899342856
train:0.002769027501447024,validation:0.0040866831679724986
train:0.0034987588712413397,validation:0.0024661498868630994
train:0.002961979403702931,validation:0.004337958396515912
train:0.0032716995018155694,validation:0.0025038135807133382
train:0.0028525510787513557,validation:0.004031887562531564
train:0.0030902777747302264,validation:0.0024440073563406863
train:0.002811358324354412,validation:0.00382896326482296
train:0.003095404899955451,validation:0.002615927097698053
train:0.00260579887813387,validation:0.003335041795960731
train:0.002996506693946955,validation:0.002553691389039159
train:0.0024756239241009556,validation:0.003034651822720965
train:0.0028283439261920667,validation:0.0028236771209372413
train:0.002347189133505818,validation:0.0024768286125941407
train:0.002529532603847866,validation:0.0025694281535430085
train:0.002291477049936305,validation:0.0023903303986622226
train:0.00230758403463719,validation:0.002513168224443992
train:0.002230949126757108,validation:0.0023374378215521574
train:0.0022800199759121123,validation:0.002293220863470601
train:0.0021994607881284677,validation:0.0024602999393310812
train:0.0022166441028405514,validation:0.0022668077144771814
train:0.0022174155628718025,validation:0.0023383492759118476
train:0.0021686535865928116,validation:0.0023569640858719745
train:0.002170561963774182,validation:0.0022922139873521197
train:0.0021212803683458613,validation:0.0022154208143345183
train:0.002066611495268132,validation:0.002223644935939875
train:0.0020562876182209167,validation:0.0022017013592024646
train:0.0020346681684624036,validation:0.0022294439064959684
train:0.0020487790180185993,validation:0.002257682784046564
train:0.0020186143100855277,validation:0.0023471496145551405
train:0.002026697556785011,validation:0.00232802155531115
train:0.0020096180563956337,validation:0.0022604257359893788
train:0.002065425210345823,validation:0.002020534464261598
train:0.0021024327993822787,validation:0.0020636165669808784
train:0.0020630443698961983,validation:0.002536908154272371
train:0.00203101630936694,validation:0.002414019416189856
